Name,Class_Type,Namespace,Brick_Type,Location,Unit,ID
Chiller_0,Equipment,BRICK,Chiller,,,
Chiller_1,Equipment,BRICK,Chiller,,,
Chiller_2,Equipment,BRICK,Chiller,,,
Chiller_3,Equipment,BRICK,Chiller,,,
Chiller_4,Equipment,BRICK,Chiller,,,
Chiller_5,Equipment,BRICK,Chiller,,,
Chiller_6,Equipment,BRICK,Chiller,,,
Chiller_7,Equipment,BRICK,Chiller,,,
Cooling_Tower_1,Equipment,BRICK,Cooling_Tower,,,
Cooling_Tower_2,Equipment,BRICK,Cooling_Tower,,,
Cooling_Tower_3,Equipment,BRICK,Cooling_Tower,,,
Cooling_Tower_4,Equipment,BRICK,Cooling_Tower,,,
Cooling_Tower_5,Equipment,BRICK,Cooling_Tower,,,
Cooling_Tower_6,Equipment,BRICK,Cooling_Tower,,,
Cooling_Tower_7,Equipment,BRICK,Cooling_Tower,,,
Cooling_Tower_8,Equipment,BRICK,Cooling_Tower,,,
Condenser_Water_Pump_1,Equipment,BRICK,Condenser_Water_Pump,,,
Condenser_Water_Pump_2,Equipment,BRICK,Condenser_Water_Pump,,,
Condenser_Water_Pump_3,Equipment,BRICK,Condenser_Water_Pump,,,
Condenser_Water_Pump_4,Equipment,BRICK,Condenser_Water_Pump,,,
Condenser_Water_Pump_5,Equipment,BRICK,Condenser_Water_Pump,,,
Condenser_Water_Pump_6,Equipment,BRICK,Condenser_Water_Pump,,,
Condenser_Water_Pump_7,Equipment,BRICK,Condenser_Water_Pump,,,
Condenser_Water_Pump_8,Equipment,BRICK,Condenser_Water_Pump,,,
Chilled_Water_Pump_Primary_0,Equipment,BRICK,Chilled_Water_Pump,,,
Chilled_Water_Pump_Primary_1,Equipment,BRICK,Chilled_Water_Pump,,,
Chilled_Water_Pump_Primary_2,Equipment,BRICK,Chilled_Water_Pump,,,
Chilled_Water_Pump_Primary_3,Equipment,BRICK,Chilled_Water_Pump,,,
Chilled_Water_Pump_Primary_4,Equipment,BRICK,Chilled_Water_Pump,,,
Chilled_Water_Pump_Primary_5,Equipment,BRICK,Chilled_Water_Pump,,,
Chilled_Water_Pump_Primary_6,Equipment,BRICK,Chilled_Water_Pump,,,
